fecha,consumo_zona_1,temperatura,humedad,velocidad_viento,flujo_difuso_general,flujo_difuso
1/1/2017 0:00,34055.6962,6.559,73.8,0.083,0.051,0.119
1/1/2017 0:10,29814.68354,6.414,74.5,0.083,0.07,0.085
1/1/2017 0:20,29128.10127,6.313,74.5,0.08,0.062,0.1
1/1/2017 0:30,28228.86076,6.121,75.0,0.083,0.091,0.096
1/1/2017 0:40,27335.6962,5.921,75.7,0.081,0.048,0.085
1/1/2017 0:50,26624.81013,5.853,76.9,0.081,0.059,0.108
1/1/2017 1:00,25998.98734,5.641,77.7,0.08,0.048,0.096
1/1/2017 1:10,25446.07595,5.496,78.2,0.085,0.055,0.093
1/1/2017 1:20,24777.72152,5.678,78.1,0.081,0.066,0.141
1/1/2017 1:30,24279.49367,5.491,77.3,0.082,0.062,0.111
1/1/2017 1:40,23896.70886,5.516,77.5,0.081,0.051,0.108
1/1/2017 1:50,23544.3038,5.471,76.7,0.083,0.059,0.126
1/1/2017 2:00,23003.5443,5.059,78.6,0.081,0.07,0.096
1/1/2017 2:10,22329.11392,4.968,78.8,0.084,0.07,0.134
1/1/2017 2:20,22092.1519,4.975,78.9,0.083,0.055,0.152
1/1/2017 2:30,21903.79747,4.897,79.1,0.083,0.07,0.096
1/1/2017 2:40,21685.06329,5.02,79.7,0.081,0.051,0.134
1/1/2017 2:50,21484.55696,5.407,78.5,0.082,0.062,0.163
1/1/2017 3:00,21107.8481,5.169,77.9,0.083,0.066,0.108
1/1/2017 3:10,20998.48101,5.081,77.7,0.084,0.051,0.13
1/1/2017 3:20,20870.88608,5.041,77.2,0.081,0.062,0.152
1/1/2017 3:30,20870.88608,5.034,76.9,0.083,0.051,0.185
1/1/2017 3:40,20597.46835,4.896,76.6,0.085,0.07,0.137
1/1/2017 3:50,20421.26582,4.805,76.2,0.081,0.059,0.134
1/1/2017 4:00,20524.55696,4.753,75.7,0.083,0.044,0.134
1/1/2017 4:10,20482.02532,4.901,74.4,0.083,0.07,0.122
1/1/2017 4:20,20530.63291,5.203,74.1,0.085,0.062,0.096
1/1/2017 4:30,20512.40506,5.394,71.9,0.081,0.073,0.1
1/1/2017 4:40,20494.17722,5.156,74.0,0.079,0.062,0.148
1/1/2017 4:50,20311.89873,5.179,74.2,0.083,0.037,0.137
1/1/2017 5:00,20542.78481,4.934,72.9,0.082,0.055,0.134
1/1/2017 5:10,20621.77215,4.718,75.8,0.08,0.051,0.152
1/1/2017 5:20,20627.8481,5.546,74.0,0.082,0.055,0.093
1/1/2017 5:30,20797.97468,4.658,73.5,0.08,0.044,0.104
1/1/2017 5:40,20858.73418,4.382,76.9,0.081,0.073,0.148
1/1/2017 5:50,21393.41772,4.212,78.3,0.081,0.117,0.082
1/1/2017 6:00,22219.74684,4.308,77.2,0.081,0.062,0.126
1/1/2017 6:10,21928.10127,4.735,74.3,0.08,0.04,0.156
1/1/2017 6:20,21776.20253,4.769,75.6,0.082,0.099,0.063
1/1/2017 6:30,21654.68354,4.92,73.7,0.083,0.099,0.096
1/1/2017 6:40,21466.32911,4.408,76.7,0.082,0.037,0.119
1/1/2017 6:50,20846.58228,4.29,77.0,0.085,0.033,0.193
1/1/2017 7:00,19983.79747,4.304,76.0,0.082,0.048,0.152
1/1/2017 7:10,18908.35443,4.513,74.6,0.084,0.055,0.134
1/1/2017 7:20,18167.08861,4.489,74.3,0.082,0.081,0.119
1/1/2017 7:30,18075.94937,4.356,72.3,0.082,0.07,0.119
1/1/2017 7:40,18063.79747,4.478,72.2,0.083,0.073,0.089
1/1/2017 7:50,18045.56962,4.583,71.0,0.083,0.066,0.104
1/1/2017 8:00,18385.82278,4.794,72.0,0.084,0.187,0.145
1/1/2017 8:10,18987.34177,4.807,73.1,0.082,0.955,0.949
1/1/2017 8:20,19576.70886,4.757,73.5,0.083,3.188,3.134
1/1/2017 8:30,19837.97468,4.509,74.5,0.084,6.643,6.494
1/1/2017 8:40,20166.07595,4.346,74.8,0.082,12.64,10.13
1/1/2017 8:50,20676.4557,4.718,73.7,0.081,58.97,17.0
1/1/2017 9:00,21296.20253,4.704,71.8,0.083,82.5,20.15
1/1/2017 9:10,22043.5443,4.624,74.1,0.082,106.9,22.55
1/1/2017 9:20,22651.13924,4.629,74.8,0.083,132.1,24.3
1/1/2017 9:30,23131.13924,4.599,74.0,0.082,156.1,26.9
1/1/2017 9:40,23641.51899,4.524,74.7,0.081,182.4,28.19
1/1/2017 9:50,24668.35443,4.575,74.5,0.082,208.8,29.2
1/1/2017 10:00,25275.94937,5.124,73.7,0.076,234.8,29.23
1/1/2017 10:10,25920.0,5.836,71.3,2.66,257.9,31.01
1/1/2017 10:20,26393.92405,5.996,69.85,4.93,282.7,31.96
1/1/2017 10:30,26861.77215,6.22,68.81,4.924,307.0,32.42
1/1/2017 10:40,27511.89873,6.703,68.01,4.923,327.6,33.22
1/1/2017 10:50,28149.87342,6.993,66.14,4.918,349.6,33.41
1/1/2017 11:00,28714.93671,7.54,64.21,4.916,371.1,33.43
1/1/2017 11:10,29043.03797,8.22,61.9,4.916,388.2,33.89
1/1/2017 11:20,29261.77215,9.49,59.3,2.451,401.3,34.4
1/1/2017 11:30,29474.43038,10.65,56.03,0.084,419.5,35.29
1/1/2017 11:40,29523.03797,11.06,53.52,0.082,430.9,37.58
1/1/2017 11:50,29711.39241,12.4,53.26,0.08,437.5,43.46
1/1/2017 12:00,29644.55696,13.08,54.36,0.077,450.4,43.2
1/1/2017 12:10,29802.53165,14.38,54.42,0.076,470.5,37.92
1/1/2017 12:20,29887.59494,15.02,56.46,0.074,480.0,38.81
1/1/2017 12:30,30039.49367,15.55,58.7,0.075,486.1,39.46
1/1/2017 12:40,29966.58228,15.56,59.23,0.076,490.2,40.92
1/1/2017 12:50,29996.96203,15.49,59.3,0.076,495.9,40.9
1/1/2017 13:00,30258.22785,15.57,58.06,0.077,498.1,40.94
1/1/2017 13:10,30404.05063,15.65,58.7,0.077,498.1,42.75
1/1/2017 13:20,30094.17722,15.73,59.33,0.076,498.8,44.65
1/1/2017 13:30,30161.01266,15.68,58.6,0.079,497.0,44.26
1/1/2017 13:40,30318.98734,15.7,55.29,0.074,489.2,39.32
1/1/2017 13:50,30154.93671,15.75,52.45,0.077,482.4,38.65
1/1/2017 14:00,29984.81013,15.83,54.99,0.079,476.1,39.49
1/1/2017 14:10,30021.26582,15.79,56.66,0.076,467.7,39.94
1/1/2017 14:20,30021.26582,15.72,55.86,0.077,456.1,39.95
1/1/2017 14:30,29911.89873,15.8,54.06,0.075,449.2,41.52
1/1/2017 14:40,29747.8481,15.74,55.56,0.075,437.4,44.13
1/1/2017 14:50,29705.31646,15.72,56.69,0.077,422.0,43.87
1/1/2017 15:00,29571.64557,15.64,57.26,0.077,409.0,44.9
1/1/2017 15:10,29553.41772,15.69,57.96,0.074,391.8,46.89
1/1/2017 15:20,29383.29114,15.69,58.93,0.075,369.4,51.51
1/1/2017 15:30,29061.26582,15.6,58.7,0.073,321.0,57.14
1/1/2017 15:40,28885.06329,15.39,57.6,0.075,180.3,60.31
1/1/2017 15:50,28854.68354,15.34,58.7,0.075,149.5,67.85
1/1/2017 16:00,28836.4557,15.33,59.23,0.077,209.1,128.9
1/1/2017 16:10,28708.86076,15.48,57.46,0.074,265.1,219.1
1/1/2017 16:20,28556.96203,15.54,58.3,0.076,241.3,246.0
1/1/2017 16:30,28514.43038,15.53,58.8,0.077,219.0,248.1
1/1/2017 16:40,28666.32911,15.48,57.73,0.075,195.7,231.6
1/1/2017 16:50,29097.72152,15.47,58.23,0.077,174.9,211.9
1/1/2017 17:00,29723.5443,15.44,59.07,0.076,165.8,201.7
1/1/2017 17:10,30871.89873,15.35,59.3,0.077,132.0,163.0
1/1/2017 17:20,32700.75949,15.34,59.0,0.079,117.4,144.3
1/1/2017 17:30,35793.41772,15.11,59.53,0.076,97.6,120.6
1/1/2017 17:40,38321.01266,14.93,60.83,0.077,76.5,94.0
1/1/2017 17:50,39129.11392,14.71,61.87,0.086,26.51,28.08
1/1/2017 18:00,39560.50633,14.48,63.27,0.08,18.0,18.29
1/1/2017 18:10,39517.97468,14.29,63.94,0.078,6.994,7.02
1/1/2017 18:20,39596.96203,14.09,64.87,0.078,2.818,2.763
1/1/2017 18:30,39469.36709,13.89,66.11,0.076,0.809,0.89
1/1/2017 18:40,39682.02532,13.79,66.74,0.076,0.146,0.197
1/1/2017 18:50,39888.60759,13.54,66.71,0.076,0.062,0.089
1/1/2017 19:00,39991.89873,12.51,68.35,0.077,0.055,0.085
1/1/2017 19:10,40210.63291,12.06,70.2,0.078,0.066,0.096
1/1/2017 19:20,40216.70886,11.75,70.7,0.079,0.055,0.126
1/1/2017 19:30,40435.44304,11.61,70.7,0.077,0.081,0.126
1/1/2017 19:40,40514.43038,11.5,70.6,0.078,0.059,0.074
1/1/2017 19:50,40544.81013,11.43,70.7,0.076,0.048,0.093
1/1/2017 20:00,40283.5443,11.42,71.2,0.076,0.073,0.085
1/1/2017 20:10,40216.70886,11.69,71.1,0.078,0.091,0.104
1/1/2017 20:20,40477.97468,12.05,69.82,0.077,0.048,0.108
1/1/2017 20:30,40611.64557,11.87,69.98,0.076,0.051,0.093
1/1/2017 20:40,40435.44304,11.61,71.2,0.078,0.04,0.119
1/1/2017 20:50,40204.55696,11.5,72.0,0.078,0.07,0.078
1/1/2017 21:00,39584.81013,11.43,72.0,0.075,0.051,0.07
1/1/2017 21:10,39274.93671,11.29,72.2,0.075,0.051,0.119
1/1/2017 21:20,39141.26582,11.49,73.1,0.077,0.044,0.085
1/1/2017 21:30,38643.03797,12.24,70.1,0.077,0.073,0.089
1/1/2017 21:40,38011.13924,11.84,68.78,0.074,0.066,0.093
1/1/2017 21:50,37622.27848,12.2,68.78,0.074,0.066,0.122
1/1/2017 22:00,36953.92405,13.1,65.44,0.074,0.04,0.141
1/1/2017 22:10,36394.93671,13.2,63.84,0.074,0.081,0.093
1/1/2017 22:20,35289.11392,13.18,63.97,0.075,0.081,0.093
1/1/2017 22:30,34438.48101,12.64,66.77,0.072,0.044,0.141
1/1/2017 22:40,33678.98734,12.39,68.04,0.074,0.084,0.115
1/1/2017 22:50,33077.46835,12.24,69.18,0.077,0.059,0.119
1/1/2017 23:00,32117.46835,12.11,69.94,0.074,0.088,0.082
1/1/2017 23:10,31357.97468,12.07,70.7,0.076,0.033,0.078
1/1/2017 23:20,30701.77215,11.99,70.8,0.075,0.055,0.134
1/1/2017 23:30,29681.01266,11.32,74.7,0.075,0.07,0.1
1/1/2017 23:40,28830.37975,11.37,74.8,0.074,0.084,0.082
1/1/2017 23:50,27748.86076,11.41,74.1,0.076,0.077,0.122
1/2/2017 0:00,26703.79747,11.01,75.8,0.076,0.033,0.163
1/2/2017 0:10,26169.11392,10.74,77.3,0.078,0.084,0.108
1/2/2017 0:20,25622.27848,10.47,78.2,0.078,0.088,0.13
1/2/2017 0:30,24972.1519,10.31,79.2,0.076,0.091,0.134
1/2/2017 0:40,24437.46835,10.63,79.3,0.079,0.037,0.152
1/2/2017 0:50,23914.93671,10.84,78.4,0.073,0.062,0.156
1/2/2017 1:00,23629.36709,10.94,78.1,0.074,0.084,0.108
1/2/2017 1:10,23118.98734,11.12,77.9,0.073,0.055,0.145
1/2/2017 1:20,22736.20253,11.02,77.5,0.081,0.062,0.178
1/2/2017 1:30,22049.62025,10.5,78.9,0.076,0.066,0.145
1/2/2017 1:40,21855.18987,10.22,79.8,0.078,0.088,0.126
1/2/2017 1:50,21685.06329,10.42,81.3,0.075,0.073,0.13
1/2/2017 2:00,21533.16456,10.86,80.0,0.076,0.066,0.159
1/2/2017 2:10,21107.8481,11.17,77.3,0.077,0.066,0.13
1/2/2017 2:20,20986.32911,11.1,75.6,0.077,0.077,0.156
1/2/2017 2:30,20725.06329,11.14,75.0,0.081,0.07,0.156
1/2/2017 2:40,20889.11392,11.21,75.2,0.077,0.062,0.137
1/2/2017 2:50,20433.41772,10.71,77.4,0.079,0.07,0.148
1/2/2017 3:00,20372.65823,10.7,77.7,0.079,0.062,0.159
1/2/2017 3:10,20135.6962,10.58,78.6,0.075,0.055,0.137
1/2/2017 3:20,20129.62025,10.59,79.5,0.078,0.084,0.145
1/2/2017 3:30,20117.46835,10.68,79.4,0.079,0.059,0.156
1/2/2017 3:40,20087.08861,10.52,79.8,0.076,0.066,0.145
1/2/2017 3:50,19740.75949,10.34,80.6,0.078,0.088,0.119
1/2/2017 4:00,19831.89873,10.18,81.7,0.079,0.059,0.159
1/2/2017 4:10,19989.87342,10.41,82.3,0.074,0.077,0.126
1/2/2017 4:20,20166.07595,10.41,81.4,0.078,0.095,0.134
1/2/2017 4:30,20214.68354,10.39,81.5,0.074,0.088,0.119
1/2/2017 4:40,20141.77215,10.16,81.9,0.075,0.073,0.122
1/2/2017 4:50,20056.70886,9.97,82.8,0.077,0.066,0.178
1/2/2017 5:00,20257.21519,10.03,83.8,0.08,0.029,0.163
1/2/2017 5:10,20500.25316,9.98,83.0,0.078,0.073,0.115
1/2/2017 5:20,20712.91139,9.74,82.8,0.081,0.106,0.126
1/2/2017 5:30,20810.12658,9.54,83.7,0.078,0.081,0.174
1/2/2017 5:40,21041.01266,9.53,83.9,0.072,0.066,0.182
1/2/2017 5:50,21709.36709,9.56,84.1,0.073,0.077,0.134
1/2/2017 6:00,22742.27848,9.58,84.5,0.075,0.048,0.134
1/2/2017 6:10,22948.86076,9.44,84.1,0.075,0.07,0.145
1/2/2017 6:20,23258.73418,9.4,84.4,0.077,0.07,0.122
1/2/2017 6:30,23471.39241,9.38,84.6,0.076,0.044,0.141
1/2/2017 6:40,23653.67089,9.16,84.7,0.077,0.048,0.145
1/2/2017 6:50,23769.11392,9.06,85.6,0.076,0.059,0.141
1/2/2017 7:00,23380.25316,9.17,85.8,0.078,0.073,0.163
1/2/2017 7:10,23033.92405,9.46,86.2,0.076,0.07,0.152
1/2/2017 7:20,22803.03797,9.74,85.4,0.072,0.077,0.111
1/2/2017 7:30,23082.53165,9.8,84.4,0.077,0.081,0.122
1/2/2017 7:40,22803.03797,9.58,83.9,0.079,0.073,0.13
1/2/2017 7:50,22268.35443,9.51,83.7,0.082,0.081,0.137
1/2/2017 8:00,22742.27848,9.44,83.2,0.084,0.124,0.223
1/2/2017 8:10,23526.07595,9.18,82.5,0.083,0.871,0.89
1/2/2017 8:20,24340.25316,8.96,83.4,0.083,2.95,2.867
1/2/2017 8:30,24881.01266,8.71,83.9,0.081,6.657,6.472
1/2/2017 8:40,25190.88608,8.52,85.1,0.081,13.02,11.56
1/2/2017 8:50,25531.13924,8.43,85.4,0.079,39.1,19.49
1/2/2017 9:00,25980.75949,8.44,85.9,0.08,64.11,24.49
1/2/2017 9:10,23495.6962,8.69,86.7,0.079,92.3,27.88
1/2/2017 9:20,23629.36709,9.02,86.7,0.082,117.2,30.43
1/2/2017 9:30,24006.07595,9.17,86.9,0.079,134.7,33.24
1/2/2017 9:40,24771.64557,10.48,87.0,0.079,169.2,35.2
1/2/2017 9:50,25148.35443,11.13,83.5,0.08,194.0,36.92
1/2/2017 10:00,25518.98734,11.68,81.7,0.08,218.3,39.07
1/2/2017 10:10,25695.18987,12.22,78.0,0.075,246.6,40.01
1/2/2017 10:20,26351.39241,12.61,74.8,0.076,270.6,40.59
1/2/2017 10:30,26667.34177,13.07,72.7,0.075,288.3,42.31
1/2/2017 10:40,26794.93671,13.61,70.2,0.077,309.8,43.74
1/2/2017 10:50,27281.01266,14.0,69.22,0.077,337.2,43.39
1/2/2017 11:00,27645.56962,14.55,64.11,0.077,360.7,41.43
1/2/2017 11:10,27773.16456,14.94,58.46,0.077,381.4,41.13
1/2/2017 11:20,27894.68354,15.08,57.23,0.076,396.6,40.66
1/2/2017 11:30,28532.65823,15.18,55.83,0.076,410.8,41.23
1/2/2017 11:40,28818.22785,15.28,56.49,0.075,425.6,41.84
1/2/2017 11:50,28684.55696,15.27,55.93,0.076,440.2,41.83
1/2/2017 12:00,28939.74684,15.21,55.69,0.077,452.5,41.73
1/2/2017 12:10,29152.40506,15.18,57.2,0.078,460.5,42.38
1/2/2017 12:20,29674.93671,15.11,57.86,0.074,469.9,43.43
1/2/2017 12:30,29826.83544,15.1,58.33,0.076,476.2,43.25
1/2/2017 12:40,29905.82278,15.26,58.8,0.076,482.3,44.1
1/2/2017 12:50,29990.88608,15.15,60.87,0.075,485.1,44.53
1/2/2017 13:00,29966.58228,15.23,60.53,0.076,487.1,44.09
1/2/2017 13:10,29881.51899,15.22,60.2,0.077,487.6,44.43
1/2/2017 13:20,29760.0,15.22,59.83,0.076,486.9,44.29
1/2/2017 13:30,29292.1519,15.33,59.16,0.076,484.1,43.72
1/2/2017 13:40,29140.25316,15.41,58.13,0.076,481.1,43.82
1/2/2017 13:50,28872.91139,15.43,58.0,0.077,477.2,43.68
1/2/2017 14:00,28672.40506,15.56,56.03,0.075,470.9,42.8
1/2/2017 14:10,28502.27848,15.59,55.73,0.075,463.4,42.58
1/2/2017 14:20,28684.55696,15.47,56.29,0.077,451.8,42.83
1/2/2017 14:30,28617.72152,15.55,55.99,0.074,441.9,41.88
1/2/2017 14:40,28635.94937,15.57,56.53,0.076,427.9,42.14
1/2/2017 14:50,28556.96203,15.64,55.35,0.077,413.9,41.5
